id,request,class
116,"Почтовый сервер отвечает медленно и теряет соединения.",IT
117,"Запрос на компенсацию мобильной связи.",HR
118,"Контрольные соотношения в балансе некорректны.",Бухгалтерия
119,"Сервер отказал при выполнении задачи cron.",IT
120,"Как оформить надбавку за вредные условия труда?",HR
121,"Не проходят платежи через банк: ошибка формата.",Бухгалтерия
122,"Нужен доступ админа к Kubernetes-кластеру.",IT
123,"Запрос на отпуск за свой счёт.",HR
124,"Проводки по ОС сформированы с ошибкой.",Бухгалтерия
125,"Не доходит почта на некоторых ящиках — bounce.",IT
126,"Прошу внести изменения в кадровое дело сотрудника.",HR
127,"Ошибка при расчёте НДС по операциям с контрагентом.",Бухгалтерия
128,"Проблема с синхронизацией Active Directory.",IT
129,"Запрос на подтверждение стажа для банка.",HR
130,"Неверно рассчитан курсовой разницы по валютному счёту.",Бухгалтерия
131,"Не поднимается служба базы данных PostgreSQL.",IT
132,"Запрос на перенос даты отпуска.",HR
133,"Нужна помощь с формированием налоговой декларации.",Бухгалтерия
134,"Проблема с отображением шрифтов в приложении.",IT
135,"Как правильно заполнить заявление на материальную помощь?",HR
136,"Формирование платёжной ведомости завершилось с ошибкой.",Бухгалтерия
137,"Не работает интеграция c внешним API.",IT
138,"Запрос на подтверждение работы в выходной день.",HR
139,"Разные суммы в бух.учёте и оперативном учёте.",Бухгалтерия
140,"Падает сборка на CI из-за неверного Java-ключа.",IT
141,"Прошу предоставить информацию о налоговых вычетах.",HR
142,"Неверно настроены валютные счета в 1С.",Бухгалтерия
143,"Не срабатывает дедупликация бэкапов.",IT
144,"Как оформить внутренний совместитель?",HR
145,"Ошибка в начислении отпускных за период.",Бухгалтерия
146,"При подключении к LDAP не подтягиваются группы.",IT
147,"Запрос на корректировку штатного расписания.",HR
148,"Не проходят проверки при формировании декларации.",Бухгалтерия
149,"Пользователь не видит страницу проекта в GitLab.",IT
150,"Прошу предоставить справку об увольнении сотрудника.",HR
151,"Налоговые обязательства отражены неверно в разрезе ОКТМО.",Бухгалтерия
152,"Не получается подключиться к internal-registry: unauthorized.",IT
153,"Запрос на выплату компенсации за переезд.",HR
154,"Нужно исправить аналитики по статьям затрат.",Бухгалтерия
155,"Сессии в приложении завершаются преждевременно.",IT
156,"Прошу выдать дубликат трудового договора.",HR
157,"В учёте не отражены выявленные инвентаризацией остатки.",Бухгалтерия
158,"Не работает авторизация через SAML на портале.",IT
159,"Запрос на предоставление справки о зарплате для визы.",HR
160,"Некорректно сформирован отчёт 'ОС и НМА' за год.",Бухгалтерия
161,"Падает служба очередей при большой нагрузке.",IT
162,"Как оформить больничный по уходу за ребёнком?",HR
163,"Не проходят платежи зарплатного реестра в банк.",Бухгалтерия
164,"Проблема с доступом к VPN из домашней сети.",IT
165,"Прошу ускорить выдачу расчётного листа.",HR
166,"Ошибки при импорте выписок банка в 1С.",Бухгалтерия
167,"Не стартует Windows после обновления политик.",IT
168,"Запрос на корректировку удержаний в зарплате.",HR
169,"Нужно провести сверку с контрагентом по закрывающим документам.",Бухгалтерия
170,"Сервис зависает при обработке большого запроса.",IT
171,"Прошу оформить перерасчёт отпускных.",HR
172,"Проводки закрытия месяца сформированы некорректно.",Бухгалтерия
173,"Не работают вебхуки от платежного провайдера.",IT
174,"Запрос на справку о доходах для получения кредита.",HR
175,"Ошибка при расчёте налога по функционалу.",Бухгалтерия
176,"Проблема с сертификатом клиента при подключении к API.",IT
177,"Запрос на командировочные документы за месяц.",HR
178,"Не формируется книга продаж для НДС.",Бухгалтерия
179,"Не прилетают оповещения о CI-сборках.",IT
180,"Прошу внести изменение в график отпусков.",HR
181,"Ошибки при закрытии месяца: несоответствие остатков.",Бухгалтерия
182,"Не проходит развёртывание Helm-чарта.",IT
183,"Вопрос по начислению премии за KPI.",HR
184,"Неверно рассчитаны резервы по сомнительным долгам.",Бухгалтерия
185,"Падение сервиса из-за нехватки дескрипторов.",IT
186,"Как оформить дополнительный отпуск по соглашению сторон?",HR
187,"Некорректные данные в регистре налоговой отчётности.",Бухгалтерия
188,"Не удаётся подключиться к Redis из приложения.",IT
189,"Запрос на выплату материальной помощи сотруднику.",HR
190,"Проблемы при формировании отчёта для контроля ФНС.",Бухгалтерия
191,"Не проходит авторизация в Docker-Registry.",IT
192,"Как оформить ежегодный оплачиваемый отпуск?",HR
193,"Неверно распределены расходы по проектам.",Бухгалтерия
194,"Не работает ssh-ключ для деплоя.",IT
195,"Прошу выдать справку о доходах для визы.",HR
196,"Ошибка в расчётах по УСН.",Бухгалтерия
197,"Проблемы с доступом к shared mailbox.",IT
198,"Как оформить компенсацию проезда?",HR
199,"Неверно отражены НПА в учёте по налогу на прибыль.",Бухгалтерия
200,"Ошибка при сборке native-модуля на проде.",IT
201,"Запрос на продление командировки.",HR
202,"Платёж по зарплате прошёл с задержкой.",Бухгалтерия
203,"При развертывании контейнера не находятся переменные окружения.",IT
204,"Запрос на изменение даты начала работы сотрудника.",HR
205,"Неверно заполнены поля в декларации по НДС.",Бухгалтерия
206,"Не удаётся подключиться к SFTP-серверу.",IT
207,"Прошу начислить отпускные по новому графику.",HR
208,"В бухучёте не отражены авансы поставщику.",Бухгалтерия
209,"Ошибка при обновлении зависимостей Maven.",IT
210,"Прошу выдать подтверждение работы за период.",HR
211,"Некорректно закрыты документы по ОС.",Бухгалтерия
212,"Не поднимается кластер баз данных.",IT
213,"Запрос на выдачу справки о доходах для банка.",HR
214,"Платёж ушёл дважды — нужно возвратить.",Бухгалтерия
215,"Сбой в системе логирования — логи отсутствуют.",IT
216,"Прошу оформить доплату за ночную работу.",HR
217,"Ошибка в учёте налогов при перерасчёте.",Бухгалтерия
218,"Не работает веб-приложение при большом числе пользователей.",IT
219,"Запрос на оплату курсов повышения квалификации.",HR
220,"Некорректные остатки по налоговым ставкам.",Бухгалтерия
221,"Проблемы с DNS разрешением внутреннего домена.",IT
222,"Как начисляется компенсация за питание?",HR
223,"Ошибка при формировании регламентных документов.",Бухгалтерия
224,"Сбой при деплое новой версии — миграции не применяются.",IT
225,"Прошу оформить выплату по больничному листу.",HR
226,"Нужно скорректировать проводки по реализации.",Бухгалтерия
227,"Не удаётся подключиться к Elasticsearch.",IT
228,"Вопрос по выплате отпускных при увольнении.",HR
229,"Ошибка в учёте НДС при внутреннем перемещении.",Бухгалтерия
230,"Проблемы с latency при API запросах.",IT
231,"Прошу выдать справку по форме 2-НДФЛ.",HR
232,"Неверно заполнены налоговые регистры.",Бухгалтерия
233,"Не работает интеграция с почтовым сервисом.",IT
234,"Прошу проверить начисление пособия по нетрудоспособности.",HR
235,"Ошибки при расчёте налогов для нерезидентов.",Бухгалтерия
236,"Проблемы с правами на S3 бакеты.",IT
237,"Прошу подтвердить стаж для страховой компании.",HR
238,"Не формируется отчёт по себестоимости продукции.",Бухгалтерия
239,"Сбой при авторизации через OIDC.",IT
240,"Запрос на перерасчёт зарплаты за прошлый месяц.",HR
241,"Ошибка при закрытии месяца: не сформированы проводки.",Бухгалтерия
242,"Не открывается страница приложения по HTTPS.",IT
243,"Прошу выдать справку о заработной плате.",HR
244,"Проблемы с реестром выплат поставщикам.",Бухгалтерия
245,"Не работает мониторинг (Prometheus не собирает метрики).",IT
246,"Вопрос по выплате бонусов по результатам квартала.",HR
247,"Ошибка при расчёте НДС по спецрежимам.",Бухгалтерия
248,"Не проходит тестовая сборка — неизвестная ошибка.",IT
249,"Запрос на оформление матпомощи сотруднику.",HR
250,"Не корректно формируются налоговые вычеты.",Бухгалтерия
251,"Сбой в отправке уведомлений через SMTP.",IT
252,"Прошу оформить отпуск за свой счёт.",HR
253,"Ошибки в начислении НДФЛ.",Бухгалтерия
254,"Не могу получить доступ к GitLab через браузер.",IT
255,"Как оформляется пособие при рождении ребёнка?",HR
256,"Ошибка при учёте бюджетных операций.",Бухгалтерия
257,"Не поднимается очередь задач на проде.",IT
258,"Запрос на продление испытательного срока.",HR
259,"Не сходятся данные по субконто в регистрах.",Бухгалтерия
260,"Проблемы при экспорте данных в CSV.",IT
261,"Прошу внести изменение в запись трудовой книжки.",HR
262,"Не проходит сверка по налоговым обязательствам.",Бухгалтерия
263,"Не получается деплоить через CI: нет доступа к registry.",IT
264,"Как оформить отпуск без сохранения заработной платы?",HR
265,"Проблемы с заполнением книги продаж.",Бухгалтерия
266,"Не могу подключиться к MySQL: Access denied.",IT
267,"Прошу выплатить компенсацию за мобильную связь.",HR
268,"Ошибка в балансировке по статьям затрат.",Бухгалтерия
269,"Сбой при сборке на Jenkins: агент падает.",IT
270,"Запрос на предоставление справки о доходах.",HR
271,"Не сходятся остатки по расчётам с контрагентом.",Бухгалтерия
272,"Не работает push на сервер билда.",IT
273,"Прошу согласовать переработку сотрудника.",HR
274,"Неверно отражены НДС-операции в учёте.",Бухгалтерия
275,"Проблемы с правами на файловой системе NFS.",IT
276,"Запрос на отпуск по уходу за ребёнком.",HR
277,"Отсутствуют некоторые проводки в регламентной отчётности.",Бухгалтерия
278,"Не подключается агент мониторинга на хосте.",IT
279,"Прошу оформить командировочные для сотрудника.",HR
280,"Неверные проводки при списании материалов.",Бухгалтерия
281,"Ошибка при проверке подписи сертификата клиента.",IT
282,"Запрос на перерасчёт зарплаты из-за ошибки в учёте.",HR
283,"Нужно проверить корректность расчёта амортизации.",Бухгалтерия
284,"Не могу подключиться к LDAP для авторизации.",IT
285,"Прошу подтвердить перерасчёт отпускных.",HR
286,"В отчёт по налогу на прибыль попали ошибочные проводки.",Бухгалтерия
287,"Сервис возвращает 404 на некоторые эндпоинты.",IT
288,"Запрос на предоставление документов для инвентаризации.",HR
289,"Ошибка при учёте операций с НДС.",Бухгалтерия
290,"Проблемы с синхронизацией контейнеров.",IT
291,"Прошу оформить выплату надбавки.",HR
292,"Некорректные данные в регистре НДС.",Бухгалтерия
293,"Не могу склонировать репозиторий: authentication failed.",IT
294,"Вопрос по оплате отпуска при увольнении.",HR
295,"Ошибка при распределении затрат по договорам.",Бухгалтерия
296,"Не работает авто-скейлинг в кластере.",IT
297,"Прошу подтвердить стаж для соцзащиты.",HR
298,"Неверно заполнены журналы учёта.",Бухгалтерия
299,"Сломался контроллер домена.",IT
300,"Прошу выплатить компенсацию за вредные условия.",HR
301,"Проблемы с начислением зарплат по сотрудникам.",Бухгалтерия
302,"Не удаётся собрать проект локально: missing dependency.",IT
303,"Запрос на выдачу справки для налоговой.",HR
304,"Ошибка в учёте НДС по импортным операциям.",Бухгалтерия
305,"Не работает синхронизация времени на серверах.",IT
306,"Прошу изменить график работы по семейным обстоятельствам.",HR
307,"Проводки по оплатам поставщикам не сформированы.",Бухгалтерия
308,"Ошибка при компиляции фронтенда.",IT
309,"Запрос на выплату компенсации за переработки.",HR
310,"Не формируется отчёт по налогам за год.",Бухгалтерия
311,"Проблемы с доступом к приватному репозиторию.",IT
312,"Прошу выдать справку о доходах для визы.",HR
313,"Некорректно отображаются курсы валют в учёте.",Бухгалтерия
314,"Не работают webhook'и от стороннего сервиса.",IT
315,"Запрос на изменение условий контракта с сотрудником.",HR
316,"Ошибка при расчёте налогов за предыдущий период.",Бухгалтерия
317,"Проблема с файловой системой на NFS-сервере.",IT
318,"Прошу выдать справку для банка о доходах.",HR
319,"Некорректно проведены операции по закрытию месяца.",Бухгалтерия
320,"Не могу подключиться к корпоративной Wi-Fi сети.",IT
321,"Запрос на согласование повышения оклада.",HR
322,"Ошибка при учёте НДС по операциям с физлицами.",Бухгалтерия
323,"Падает бэкенд при увеличении нагрузки.",IT
324,"Прошу выдать документ о доходах для школы.",HR
325,"Неверно сформированы налоговые регистры по НДС.",Бухгалтерия
326,"Не получается зарегистрировать web-hook в системе.",IT
327,"Запрос на подтверждение факта работы в отпуске.",HR
328,"В бухгалтерии не сходятся суммы по НДФЛ.",Бухгалтерия
329,"Не работает SSH-доступ на bastion-хост.",IT
330,"Прошу оплатить курсы повышения квалификации.",HR
331,"Неверно рассчитана страховая премия.",Бухгалтерия
332,"Ошибка при сборке Docker-образа.",IT
333,"Прошу оформить выходное пособие сотруднику.",HR
334,"В проводках отсутствуют аналитики по проектам.",Бухгалтерия
335,"Не удаётся подключиться к внешнему API.",IT
336,"Запрос на корректировку штатного расписания.",HR
337,"Неверно отражены налоговые обязательства.",Бухгалтерия
338,"Проблемы с дедупликацией резервных копий.",IT
339,"Прошу подтвердить перерасчёт по больничному.",HR
340,"Ошибка при расчёте налога на имущество.",Бухгалтерия
341,"Не работают API-ключи для внешних интеграций.",IT
342,"Запрос на отпуск за счёт работодателя.",HR
343,"Проблемы с документами при зачёте налогов.",Бухгалтерия
344,"Сервис падает из-за утечки памяти.",IT
345,"Прошу оформить выплату по уходу за ребёнком.",HR
346,"Ошибка при формировании отчёта для УФК.",Бухгалтерия
347,"Не могу подключиться к базе данных после миграции.",IT
348,"Запрос на справку о заработной плате для консульства.",HR
349,"Не отражены изменения в регистрах после корректировок.",Бухгалтерия
350,"Проблемы с настройкой CI для мульти-проектов.",IT
351,"Прошу выдать документ о стаже работы.",HR
352,"Ошибка в расчёте резерва по отпуску.",Бухгалтерия
353,"Не запускается тестовый стенд.",IT
354,"Запрос на перерасчёт отпускных после изменения графика.",HR
355,"В учёте отсутствуют операции по возврату товаров.",Бухгалтерия
356,"Проблемы с правами на SFTP-сервере.",IT
357,"Прошу оформить компенсацию за интернет.",HR
358,"Неверно отражены валютные разницы.",Бухгалтерия
359,"Не могу получить доступ к панели администрирования.",IT
360,"Запрос на предоставление справки об увольнении.",HR
361,"Ошибка при расчёте налога на добавленную стоимость.",Бухгалтерия
362,"Проблемы с деплоем новых релизов.",IT
363,"Прошу предоставить информацию о начислениях.",HR
364,"Некорректно сформированы проводки по прочим доходам.",Бухгалтерия
365,"Не работает сборщик мусора на JVM.",IT
366,"Запрос на изменение условий оплаты труда.",HR
367,"Проблемы с отражением авансов поставщикам.",Бухгалтерия
368,"Ошибка при авторизации в облачном провайдере.",IT
369,"Прошу подтвердить дату приема на работу.",HR
370,"Не сходятся суммы в декларации по НДС.",Бухгалтерия
371,"Не поднимается служба CI на агенте.",IT
372,"Запрос на выплату компенсации за обучение.",HR
373,"Некорректно отражены начисления отпускных.",Бухгалтерия
374,"Проблема с интеграцией LDAP и SSO.",IT
375,"Прошу выдать справку о доходах для соцподдержки.",HR
376,"В учёте нет операций по аренде.",Бухгалтерия
377,"Не работает рестарта сервисов через systemd.",IT
378,"Запрос на оформление премии за проект.",HR
379,"Ошибка при расчёте налогов по специальному режиму.",Бухгалтерия
380,"Проблемы с сетевой картой на сервере.",IT
381,"Прошу подтвердить перерасчёт зарплаты.",HR
382,"Некорректно сформирован отчёт по движению денежных средств.",Бухгалтерия
383,"Не работает интеграция с SSO поставщика.",IT
384,"Запрос на выплату компенсации за переезд.",HR
385,"В бухучёте не проходят документы по ремонту.",Бухгалтерия
386,"Не удаётся выполнить миграцию БД — блокировки.",IT
387,"Прошу подтвердить стаж для банка.",HR
388,"Ошибка проверки контрагента в регистре.",Бухгалтерия
389,"Проблемы с подключением к CDN.",IT
390,"Прошу выдать справку о зарплате для вуза.",HR
391,"Не формируются отчёты по налогам за квартал.",Бухгалтерия
392,"Падает сервис при обработке XML-файлов.",IT
393,"Прошу оформить отпуск за собственный счёт.",HR
394,"В бухгалтерии не совпадают суммы по инкассации.",Бухгалтерия
395,"Не работает отправка уведомлений через webhook.",IT
396,"Запрос на выплату компенсации за обучение.",HR
397,"Ошибка в учёте по налогу на имущество.",Бухгалтерия
398,"Не развертываются поды в k8s: CrashLoopBackOff.",IT
399,"Прошу выдать справку о доходах за 2 года.",HR
400,"Проблемы с начислением пособий для сотрудников.",Бухгалтерия
401,"Сбой при подключении к внешнему API-провайдеру.",IT
402,"Запрос на перерасчёт зарплаты по причине ошибки.",HR
403,"Неверно отражены начисления по договорам ГПХ.",Бухгалтерия
404,"Не проходит деплой на staging.",IT
405,"Прошу подтвердить дату увольнения сотрудника.",HR
406,"Проблемы с налоговым учётом по авансам.",Бухгалтерия
407,"Не срабатывает мониторинг здоровья приложений.",IT
408,"Прошу оформить выплату компенсации на питание.",HR
409,"Ошибка при сверке с банком по платежам.",Бухгалтерия
410,"Проблема с правами доступа к redis.",IT
411,"Запрос на перерасчёт отпускных по сотруднику.",HR
412,"Не формируется отчёт по налогам для контрагентов.",Бухгалтерия
413,"Не получается обновить dependencies в проекте.",IT
414,"Прошу выдать справку о доходах для посольства.",HR
415,"Платёж не прошёл из-за неверного назначения.",Бухгалтерия
416,"Не работает процесс бэкапа баз данных.",IT
417,"Запрос на выплату материальной помощи.",HR
418,"Ошибка в учёте по основным средствам.",Бухгалтерия
419,"Падение производительности базы данных.",IT
420,"Прошу подтвердить перерасчёт заработной платы.",HR
421,"Не корректно сформирована декларация по НДС.",Бухгалтерия
422,"Проблемы с настройкой межкластерной сети.",IT
423,"Запрос на начисление премии за проект.",HR
424,"Некорректно работает обработка операций по валюте.",Бухгалтерия
425,"Не запускается авто-тестирование в CI.",IT
426,"Прошу выдать справку о доходах для кредита.",HR
427,"Ошибки в операциях по учёту аренды.",Бухгалтерия
428,"Не поднимается контейнер с базой данных.",IT
429,"Запрос на подтверждение перерасчёта за отпуск.",HR
430,"Невыполнены проводки по удержаниям.",Бухгалтерия
431,"Не могу получить доступ к dashboard'у мониторинга.",IT
432,"Прошу выдать трудовую книжку для лично",Мусорный
433,"Как оформить выплату при увольнении?",HR
434,"Ошибка в учёте по НДС при внутреннем перемещении.",Бухгалтерия
435,"Не проходит сборка фронтенда: incompatible module.",IT
436,"Прошу открыть заявление на отпуск.",HR
437,"Проблемы с учётом материальных запасов.",Бухгалтерия
438,"Падает служба очередей при пиковой нагрузке.",IT
439,"Запрос на предоставление справки по форме банка.",HR
440,"Неверно отражены начисления премий.",Бухгалтерия
441,"Не проходят репликации между БД.",IT
442,"Прошу провести сверку по зарплатам.",HR
443,"Ошибка при формировании зарплатной ведомости.",Бухгалтерия
444,"Сбой при сборке артефакта — отсутствует зависимость.",IT
445,"Запрос на выплату компенсации за мобильную связь.",HR
446,"Проблемы в учёте по налогам за предыдущий период.",Бухгалтерия
447,"Не могу подключиться к брокеру сообщений.",IT
448,"Прошу подтвердить дату перевода сотрудника.",HR
449,"Ошибка в расчётах по налогу на прибыль.",Бухгалтерия
450,"Не работает сбор логов со всех нод.",IT
451,"Как оформить документ о приёме на работу?",HR
452,"Некорректно отражены проводки по продажам.",Бухгалтерия
453,"Сервер мониторинга не принимает метрики.",IT
454,"Прошу выдать справку о зарплате для посольства.",HR
455,"Проблемы с начислением налогов при отпуске.",Бухгалтерия
456,"Не получается восстановить бэкап из S3.",IT
457,"Запрос на перерасчёт заработной платы.",HR
458,"Неверно отражены авансы поставщикам.",Бухгалтерия
459,"Сбой в деплое новых версий на прод.",IT
460,"Попросите оформить отпуск за учебный отпуск.",HR
461,"Ошибка в учёте НДС при экспорте услуг.",Бухгалтерия
462,"Не могу подключиться к internal-api.",IT
463,"Прошу выдать справку о доходах.",HR
464,"Некорректно сформирован реестр выплата.",Бухгалтерия
465,"Не работает CP/CL в пайплайне деплоя.",IT
466,"Запрос на перерасчёт пособия по временной нетрудоспособности.",HR
467,"Проблемы с корректностью налоговой отчётности.",Бухгалтерия
468,"Не удаётся восстановить контейнер после остановки.",IT
469,"Прошу оформить увольнение по собственному желанию.",HR
470,"Ошибка в учёте амортизации.",Бухгалтерия
471,"Проблемы с подключением к API third-party.",IT
472,"Запрос на выплату компенсации за переезд.",HR
473,"Проблемы с начислением налогов при отпуске.",Бухгалтерия
474,"Не доходит уведомление из очереди на сервис.",IT
475,"Прошу выдать подтверждение о доходах для банка.",HR
476,"В регистре НДС некорректные суммы.",Бухгалтерия
477,"Ошибка при запуске миграций на проде.",IT
478,"Запрос на выплату материальной помощи сотруднику.",HR
479,"Корректность начислений по больничному вызывает вопросы.",Бухгалтерия
480,"Сбой в интеграции с мониторингом.",IT
481,"Прошу подтвердить перерасчёт отпускных.",HR
482,"Ошибка в декларации по НДС за квартал.",Бухгалтерия
483,"Проблемы с управлением сертификатами.",IT
484,"Запрос на оформление повышения оклада.",HR
485,"Некорректно отражены расходы по проекту.",Бухгалтерия
486,"Не запускается служба очередей.",IT
487,"Прошу выдать справку о доходах для визы.",HR
488,"Проблемы с налоговыми вычетами по сотрудникам.",Бухгалтерия
489,"Не получается подключиться к приватному registry.",IT
490,"Запрос на подтверждение отпуска сотрудника.",HR
491,"Не сходятся суммы по налогам в учёте.",Бухгалтерия
492,"Проблемы с очередью задач при высокой нагрузке.",IT
493,"Прошу оформить выплату компенсации за обучение.",HR
494,"Ошибка в расчёте налогов по договорам гражданско-правового характера.",Бухгалтерия
495,"Не проходит автоматизированное тестирование.",IT
